>> lc_main
Warning: Data clipped when writing file. 
> In audiowrite>clipInputData (line 470)
In audiowrite (line 241)
In rfdlm_embed (line 131)
In lc_main (line 17) 
8520 58 58 127 
8522 58 58 127 
8523 58 58 127 
8524 58 58 127 
8525 58 58 127 
8526 58 58 127 
8529 58 58 127 
8531 58 58 127 
8534 58 58 127 
8535 58 58 127 
8536 58 58 127 
8537 58 58 127 
8538 58 58 127 
8539 58 58 127 
8540 58 58 124 
8541 58 58 127 
8542 58 58 127 
8543 58 58 127 
8544 58 58 125 
8545 58 58 127 
8546 58 58 122 
8547 58 58 127 
8548 58 58 127 
8549 58 58 127 
8550 58 58 125 
8552 58 58 127 
8553 58 58 125 
8554 58 58 126 
8555 58 58 123 
8556 58 58 127 
8557 58 58 127 
8560 58 58 127 
8561 58 58 127 
8562 58 58 127 
8563 58 58 127 
8564 58 58 127 
8565 58 58 127 
8566 58 58 127 
8567 58 58 127 
8568 58 58 127 
8569 58 58 127 
8571 58 58 127 
8572 58 58 127 
8574 58 58 127 
8575 58 58 127 
8576 58 58 122 
8577 58 58 127 
8578 58 58 127 
8579 58 58 127 
8580 58 58 127 
8581 58 58 126 
8583 58 58 127 
8586 58 58 127 
8587 58 58 127 
8588 58 58 126 
8589 58 58 127 
8590 58 58 127 
8591 58 58 127 
8592 58 58 127 
8597 58 58 127 
8599 58 58 124 
8600 58 58 125 
8601 58 58 127 
8605 58 58 123 
8606 58 58 125 
8607 58 58 125 
8608 58 58 127 
8609 58 58 127 
8611 58 58 123 
8612 58 58 127 
8614 58 58 127 
8615 58 58 121 
8620 58 58 124 
8621 58 58 122 
8622 58 58 121 
8623 58 58 125 
8624 58 58 122 
8625 58 58 127 
8628 58 58 127 
8629 58 58 127 
8631 58 58 120 
8633 58 58 120 
8634 58 58 122 
8635 58 58 127 
8636 58 58 125 
8637 58 58 125 
8638 58 58 126 
8640 58 58 127 
8642 58 58 125 
8644 58 58 120 
8646 58 58 127 
8647 58 58 127 
8648 58 58 127 
8649 58 58 119 
8650 58 58 120 
8652 58 58 126 
8653 58 58 125 
8655 58 58 120 
8656 58 58 123 
8657 58 58 124 
8658 58 58 118 
8659 58 58 119 
8660 58 58 123 
8661 58 58 123 
8662 58 58 123 
8663 58 58 126 
8665 58 58 118 
8666 58 58 120 
8667 58 58 124 
8668 58 58 119 
8669 58 58 126 
8670 58 58 122 
8673 58 58 122 
8674 58 58 117 
8675 58 58 123 
8676 58 58 126 
8677 58 58 126 
8678 58 58 124 
8679 58 58 127 
8680 58 58 123 
8682 58 58 122 
8683 58 58 120 
8684 58 58 124 
8686 58 58 120 
8687 58 58 122 
8688 58 58 126 
8690 58 58 123 
8692 58 58 127 
8693 58 58 124 
8694 58 58 125 
8695 58 58 120 
8696 58 58 125 
8697 58 58 127 
8698 58 58 124 
8699 58 58 123 
8700 58 58 120 
8701 58 58 126 
8702 58 58 119 
8703 58 58 114 
8704 58 58 121 
8705 58 58 120 
8706 58 58 121 
8707 58 58 120 
8708 58 58 126 
8710 58 58 126 
8713 58 58 121 
8716 58 58 119 
8718 58 58 122 
8719 58 58 116 
8720 58 58 123 
8722 58 58 121 
8723 58 58 126 
8724 58 58 127 
8725 58 58 124 
8726 58 58 121 
8727 58 58 123 
8728 58 58 119 
8730 58 58 120 
8731 58 58 117 
8732 58 58 121 
8733 58 58 126 
8735 58 58 121 
8736 58 58 122 
8738 58 58 122 
8739 58 58 122 
8740 58 58 120 
8742 58 58 120 
8743 58 58 125 
8744 58 58 125 
8745 58 58 119 
8747 58 58 121 
8749 58 58 121 
8750 58 58 121 
8751 58 58 120 
8752 58 58 123 
8754 58 58 121 
8755 58 58 118 
8757 58 58 125 
8762 58 58 123 
8763 58 58 125 
8771 58 58 127 
8785 58 58 126 
8811 58 58 124 
8817 58 58 125 
8831 58 58 123 
8846 58 58 120 
8856 58 58 123 
8873 58 58 124 
8874 58 58 117 
9736 54 54 114 
9800 54 54 110 
9802 54 54 108 
9805 54 54 112 
9812 54 54 114 
9825 54 54 118 
9836 54 54 116 
9840 54 54 113 
9841 54 54 116 
9848 54 54 116 
9853 54 54 117 
9868 54 54 110 
9878 54 54 119 
9880 54 54 113 
9887 54 54 116 
9930 54 54 115 
9932 54 54 118 
9934 54 54 113 
9936 54 54 113 
9940 54 54 115 
9945 54 54 117 
9946 54 54 116 
9947 54 54 118 
9949 54 54 113 
9950 54 54 119 
9951 54 54 110 
9952 54 54 116 
9953 54 54 124 
9954 54 54 116 
9955 54 54 112 
9957 54 54 114 
9958 54 54 119 
9959 54 54 113 
9960 54 54 122 
9962 54 54 113 
9963 54 54 119 
9964 54 54 118 
9965 54 54 112 
9966 54 54 121 
9967 54 54 120 
9968 54 54 111 
9969 54 54 114 
9971 54 54 117 
9972 54 54 120 
9974 54 54 124 
9975 54 54 115 
9980 54 54 112 
9987 54 54 120 
9991 54 54 112 
9997 54 54 115 
9998 54 54 121 
9999 54 54 116 
10001 54 54 120 
10003 54 54 120 
10004 54 54 123 
10005 54 54 117 
10006 54 54 118 
10007 54 54 115 
10008 54 54 119 
10011 54 54 120 
10012 54 54 122 
10013 54 54 121 
10014 54 54 123 
10015 54 54 116 
10016 54 54 122 
10017 54 54 123 
10018 54 54 116 
10019 54 54 116 
10020 54 54 119 
10021 54 54 117 
10022 54 54 118 
10023 54 54 112 
10024 54 54 118 
10025 54 54 123 
10027 54 54 118 
10028 54 54 121 
10031 54 54 119 
10032 54 54 126 
10033 54 54 118 
10034 54 54 118 
10035 54 54 121 
10036 54 54 119 
10037 54 54 124 
10039 54 54 119 
10042 54 54 122 
10043 54 54 119 
10045 54 54 119 
10048 54 54 116 
10050 54 54 121 
10053 54 54 118 
10055 54 54 116 
10069 54 54 118 
10085 54 54 118 
10128 54 54 121 
10135 54 54 119 
10136 54 54 113 
10142 54 54 115 
10252 55 55 119 
10269 55 55 113 
10279 55 55 116 
10280 55 55 109 
10282 55 55 120 
10286 55 55 118 
10289 55 55 114 
10293 55 55 122 
10294 55 55 124 
10300 55 55 121 
10333 55 55 116 
10344 55 55 123 
10355 55 55 112 
10357 55 55 122 
10372 55 55 116 
10373 55 55 117 
10375 55 55 110 
10380 55 55 114 
10382 55 55 111 
10387 55 55 118 
10393 55 55 114 
10421 55 55 112 
10422 55 55 105 
10423 55 55 106 
10425 55 55 102 
10427 55 55 107 
10442 55 55 106 
10451 55 55 105 
10460 55 55 108 
10464 55 55 109 
10465 55 55 104 
10466 55 55 110 
10471 55 55 112 
10472 55 55 105 
10473 55 55 114 
10477 55 55 102 
10479 55 55 108 
10481 55 55 108 
10493 55 55 111 
10507 55 55 105 
10520 55 55 103 
10522 55 55 110 
10527 55 55 110 
10533 55 55 113 
10534 55 55 108 
10536 53 53 103 
10548 55 55 104 
10551 55 55 106 
10565 55 55 108 
10566 55 55 98 
10575 55 55 108 
10578 55 55 101 
10581 55 55 104 
10586 55 55 109 
10589 55 55 103 
10590 55 55 108 
10592 55 55 103 
10596 55 55 104 
10604 55 55 105 
10605 55 55 103 
10608 55 55 106 
10616 55 55 103 
10617 55 55 104 
10621 55 55 99 
10625 55 55 102 
10626 55 55 111 
10638 55 55 109 
10646 55 55 101 
10651 55 55 101 
10654 55 55 103 
10657 55 55 107 
10660 55 55 102 
10661 55 55 106 
10664 55 55 102 
10683 53 53 93 
10716 55 55 106 
10721 53 53 100 
10725 53 53 103 
10726 53 53 100 
10733 53 53 109 
10735 55 55 105 
10740 53 53 107 
10743 55 55 105 
10744 55 55 107 
10745 55 55 110 
10753 53 53 107 
10757 55 55 107 
10758 53 53 109 
10759 53 53 99 
10767 53 53 102 
10768 53 53 107 
10770 53 53 107 
10772 53 53 102 
10773 53 53 110 
10774 53 53 102 
10775 53 53 103 
10777 53 53 102 
10778 53 53 106 
10779 53 53 106 
10780 53 53 105 
10781 53 53 109 
10786 53 53 102 
10787 53 53 108 
10793 53 53 108 
10794 53 53 107 
10795 53 53 104 
10796 53 53 101 
10797 53 53 105 
10798 53 53 109 
10801 53 53 103 
10803 53 53 104 
10804 53 53 106 
10805 53 53 109 
10807 53 53 105 
10810 53 53 105 
10811 53 53 109 
10812 53 53 110 
10814 53 53 111 
10815 53 53 110 
10816 53 53 112 
10817 53 53 108 
10818 53 53 107 
10820 53 53 106 
10821 53 53 110 
10822 53 53 104 
10823 53 53 101 
10824 53 53 110 
10825 53 53 111 
10826 53 53 102 
10828 53 53 106 
10829 53 53 105 
10830 53 53 115 
10832 53 53 105 
10833 53 53 110 
10834 53 53 109 
10836 53 53 106 
10837 53 53 111 
10838 53 53 104 
10839 53 53 110 
10840 53 53 109 
10843 53 53 103 
10845 53 53 110 
10847 53 53 115 
10848 53 53 111 
10849 53 53 108 
10850 53 53 113 
10851 53 53 110 
10852 53 53 110 
10853 53 53 110 
10854 53 53 113 
10855 53 53 114 
10856 53 53 106 
10857 53 53 113 
10858 53 53 115 
10859 53 53 105 
10860 53 53 106 
10861 53 53 107 
10862 53 53 109 
10863 53 53 108 
10864 53 53 107 
10865 53 53 112 
10866 53 53 108 
10867 53 53 106 
10868 53 53 106 
10869 53 53 110 
10870 53 53 109 
10871 53 53 112 
10873 53 53 111 
10874 53 53 107 
10875 53 53 105 
10876 53 53 111 
10877 53 53 106 
10878 53 53 106 
10879 53 53 101 
10880 53 53 110 
10881 53 53 111 
10882 53 53 106 
10883 53 53 103 
10885 53 53 110 
10886 53 53 107 
10887 53 53 110 
10888 53 53 109 
10889 53 53 111 
10890 53 53 105 
10891 53 53 110 
10892 53 53 110 
10893 53 53 109 
10894 53 53 113 
10895 53 53 112 
10897 53 53 105 
10900 53 53 107 
10901 53 53 105 
10902 53 53 105 
10903 53 53 107 
10904 53 53 100 
10905 53 53 105 
10906 53 53 106 
10911 53 53 101 
10913 53 53 103 
10914 53 53 105 
10915 53 53 103 
10919 53 53 102 
10920 53 53 105 
10921 53 53 106 
10922 53 53 105 
10923 53 53 106 
10925 53 53 106 
10926 53 53 106 
10928 53 53 106 
10929 53 53 101 
10934 53 53 101 
10935 53 53 102 
10936 53 53 102 
10937 53 53 111 
10938 53 53 106 
10939 53 53 105 
10942 53 53 107 
10943 53 53 106 
10945 53 53 106 
10947 53 53 101 
10948 53 53 108 
10949 53 53 106 
10950 53 53 101 
10951 53 53 98 
10952 53 53 106 
10954 53 53 108 
10956 53 53 102 
10958 53 53 112 
10960 53 53 108 
10961 53 53 104 
10962 53 53 105 
10963 53 53 105 
10964 53 53 97 
10966 53 53 101 
10967 53 53 108 
10969 53 53 104 
10970 53 53 111 
10971 53 53 105 
10972 53 53 104 
10973 53 53 103 
10974 53 53 107 
10975 53 53 99 
10976 53 53 107 
10977 53 53 102 
10979 53 53 104 
10980 53 53 100 
10981 53 53 98 
10982 53 53 105 
10983 53 53 103 
10984 53 53 104 
10987 53 53 102 
10988 53 53 103 
10989 53 53 104 
10990 53 53 106 
10991 53 53 104 
10992 53 53 106 
10993 53 53 97 
10994 53 53 101 
10996 53 53 106 
10997 53 53 112 
10998 53 53 98 
11000 53 53 108 
11001 53 53 106 
11002 53 53 98 
11004 53 53 105 
11006 53 53 109 
