Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
2865 63 63 59 
2873 55 55 56 
2881 63 63 65 
2884 63 63 60 
2891 63 63 58 
2897 63 63 64 
2900 63 63 57 
2901 63 63 61 
2914 63 63 69 
2918 63 63 62 
2924 23 23 54 
2929 63 63 60 
2930 63 63 62 
2933 63 63 63 
2936 63 63 58 
2942 31 31 63 
2949 63 63 68 
2951 63 63 66 
2964 31 31 61 
2974 31 31 64 
2989 51 51 58 
2992 55 55 65 
3021 27 27 53 
3022 55 55 60 
3025 55 55 56 
3026 55 55 56 
3030 19 19 55 
3044 23 23 64 
3134 51 51 57 
3275 17 17 47 
3287 49 49 46 
3292 49 49 51 
3312 48 48 54 
3318 48 48 51 
3324 48 48 51 
3328 48 48 51 
3357 49 49 48 
3361 49 49 50 
3362 49 49 56 
3367 17 17 55 
3369 17 17 55 
3407 49 49 54 
3418 17 17 48 
3419 16 16 57 
3436 49 49 49 
3437 17 17 49 
3438 48 48 57 
3444 49 49 54 
3454 17 17 48 
3457 17 17 48 
3462 16 16 51 
3465 49 49 52 
3486 48 48 54 
3512 48 48 54 
3516 48 48 58 
3518 48 48 59 
3525 48 48 61 
3528 48 48 57 
3530 48 48 55 
3536 48 48 59 
3538 16 16 53 
3560 16 16 53 
3562 16 16 52 
3566 16 16 57 
3567 16 16 62 
3573 16 16 55 
3574 16 16 58 
3577 16 16 59 
3579 16 16 61 
3587 16 16 62 
3956 52 52 59 
33 49 49 52 
39 49 49 59 
94 49 49 57 
104 49 49 62 
111 48 48 58 
114 48 48 61 
117 48 48 56 
120 49 49 54 
124 49 49 54 
129 49 49 57 
130 49 49 55 
132 49 49 53 
144 49 49 58 
147 49 49 57 
155 49 49 57 
160 49 49 54 
163 49 49 54 
167 49 49 58 
170 49 49 54 
263 53 53 57 
269 53 53 52 
270 49 49 50 
275 53 53 53 
387 45 45 53 
481 13 13 51 
1774 27 27 54 
1778 27 27 55 
1814 59 59 53 
1850 27 27 54 
1860 27 27 55 
3323 46 46 67 
3324 46 46 65 
3328 46 46 68 
3335 46 46 61 
3340 46 46 69 
3344 46 46 64 
3346 46 46 65 
3350 46 46 64 
3351 46 46 63 
3353 46 46 68 
3354 46 46 65 
3358 46 46 63 
3359 46 46 67 
3367 46 46 64 
3368 46 46 59 
3371 46 46 67 
3372 46 46 61 
3373 46 46 66 
3374 46 46 66 
3376 46 46 62 
3377 46 46 67 
3379 46 46 66 
3380 46 46 71 
3381 46 46 67 
3382 46 46 63 
3383 46 46 72 
3384 46 46 69 
3385 46 46 67 
3386 46 46 76 
3390 46 46 66 
3392 46 46 70 
3394 46 46 71 
3395 46 46 72 
3396 46 46 69 
3400 46 46 72 
3401 46 46 71 
3402 46 46 71 
3403 46 46 72 
3405 46 46 70 
3406 46 46 69 
3407 46 46 73 
3408 46 46 69 
3409 46 46 71 
3410 46 46 68 
3411 46 46 73 
3412 46 46 68 
3413 46 46 67 
3414 46 46 65 
3416 46 46 70 
3418 46 46 68 
3419 46 46 70 
3420 46 46 70 
3422 46 46 69 
3423 46 46 69 
3426 46 46 62 
3432 46 46 68 
3439 46 46 66 
3446 46 46 68 
3448 46 46 64 
3465 46 46 65 
3467 46 46 68 
3468 46 46 67 
3470 46 46 69 
3472 46 46 64 
3475 46 46 67 
3479 46 46 68 
3481 46 46 65 
3483 46 46 65 
3484 46 46 68 
3485 46 46 63 
3486 46 46 69 
3487 46 46 65 
3489 46 46 60 
3491 46 46 62 
3492 46 46 61 
3493 46 46 64 
3494 46 46 65 
3497 46 46 58 
3499 46 46 61 
3501 46 46 65 
3503 46 46 64 
3504 46 46 62 
3507 46 46 65 
3509 46 46 67 
